"date","store","county","vendor","description","bottle_qty","btl_price","total"
"2014-01-02 00:00:00",2106,"Black Hawk","LUXCO","Juarez Tequila Gold",12,"$10.00","120.00"
"2014-01-02 00:00:00",2106,"Black Hawk","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$18.74","224.88"
"2014-01-02 00:00:00",2106,"Black Hawk","Sazerac Co. Inc.","Tortilla White Tequila",12,"$10.73","128.76"
"2014-01-02 00:00:00",2106,"Black Hawk","The Patron Spirits Company","Patron Tequila Silver",12,"$40.50","486.00"
"2014-01-02 00:00:00",2130,"Black Hawk","Proximo","Jose Cuervo Especial Reposado Tequila",24,"$18.74","449.76"
"2014-01-02 00:00:00",2190,"Polk","Bacardi U.S.A. Inc.","Cazadores Anejo",2,"$35.22","70.44"
"2014-01-02 00:00:00",2190,"Polk","Bacardi U.S.A. Inc.","Cazadores Reposado",1,"$28.01","28.01"
"2014-01-02 00:00:00",2190,"Polk","Brown-Forman Corporation","El Jimador Blanco Tequila",2,"$16.73","33.46"
"2014-01-02 00:00:00",2190,"Polk","Diageo Americas","Don Julio Anejo Tequila",2,"$48.00","96.00"
"2014-01-02 00:00:00",2190,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",2190,"Polk","The Patron Spirits Company","Patron Reposado Tequila",1,"$42.00","42.00"
"2014-01-02 00:00:00",2190,"Polk","The Patron Spirits Company","Patron Tequila Silver",1,"$40.50","40.50"
"2014-01-02 00:00:00",2190,"Polk","Trinchero Family Estates","Tres Agaves Reposado",2,"$26.51","53.02"
"2014-01-02 00:00:00",2248,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",3,"$4.49","13.47"
"2014-01-02 00:00:00",2248,"Polk","The Patron Spirits Company","Patron Anejo",3,"$46.50","139.50"
"2014-01-02 00:00:00",2285,"Johnson","Diageo Americas","Don Julio Reposado",1,"$42.75","42.75"
"2014-01-02 00:00:00",2285,"Johnson","LUXCO","Juarez Tequila Silver",3,"$10.00","30.00"
"2014-01-02 00:00:00",2285,"Johnson","Pernod Ricard USA/Austin Nichols","Tequila Avion Silver",6,"$37.49","224.94"
"2014-01-02 00:00:00",2285,"Johnson","Proximo","Jose Cuervo Especial Reposado Square",3,"$8.25","24.75"
"2014-01-02 00:00:00",2285,"Johnson","The Patron Spirits Company","Patron Silver Tequila",1,"$21.00","21.00"
"2014-01-02 00:00:00",2448,"Warren","The Patron Spirits Company","Patron Tequila Silver",1,"$40.50","40.50"
"2014-01-02 00:00:00",2487,"Jones","The Patron Spirits Company","Patron Tequila Silver",3,"$40.50","121.50"
"2014-01-02 00:00:00",2509,"Linn","Jim Beam Brands","Hornitos Gold",2,"$19.68","39.36"
"2014-01-02 00:00:00",2509,"Linn","Proximo","1800 Silver Tequila",1,"$23.19","23.19"
"2014-01-02 00:00:00",2509,"Linn","The Patron Spirits Company","Patron Silver Tequila",2,"$21.00","42.00"
"2014-01-02 00:00:00",2510,"Linn","Heaven Hill Distilleries Inc.","Two Fingers Gold Tequila",3,"$10.99","32.97"
"2014-01-02 00:00:00",2510,"Linn","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",2512,"Johnson","Bacardi U.S.A. Inc.","Cazadores Anejo",6,"$35.22","211.32"
"2014-01-02 00:00:00",2512,"Johnson","Bacardi U.S.A. Inc.","Cazadores Reposado",12,"$28.01","336.12"
"2014-01-02 00:00:00",2512,"Johnson","Diageo Americas","Don Julio Blanco Tequila",6,"$39.00","234.00"
"2014-01-02 00:00:00",2512,"Johnson","Diageo Americas","Don Julio Reposado",6,"$42.75","256.50"
"2014-01-02 00:00:00",2512,"Johnson","Jim Beam Brands","Hornitos Gold",12,"$23.61","283.32"
"2014-01-02 00:00:00",2512,"Johnson","LUXCO","El Mayor Anejo Tequila",6,"$22.50","135.00"
"2014-01-02 00:00:00",2512,"Johnson","LUXCO","El Mayor Blanco",12,"$15.00","180.00"
"2014-01-02 00:00:00",2512,"Johnson","LUXCO","El Mayor Reposado",6,"$18.75","112.50"
"2014-01-02 00:00:00",2512,"Johnson","LUXCO","Juarez Tequila Gold",144,"$10.00","1440.00"
