"item_no","item_description","vendor_name","proof","case_cost","pack"
904669,"Aha Toro Anejo Tequila","William Ryan Select Ltd","80","196.48",6
904670,"Aha Toro Reposado Tequila","William Ryan Select Ltd","80","182.17",6
904676,"Aha Toro Blanco Tequila","William Ryan Select Ltd","80","167.86",6
904685,"Centinela Blanco","Haas Brothers","80","213.20",12
904703,"Jose Cuervo Especial Silver","Proximo","80","131.85",24
904713,"Cabrito Reposado","Haas Brothers","80","185.70",24
904714,"El Jimador Reposado Tequila","Brown-forman Corporation","80","140.67",24
904721,"El Jimador Reposado Tequila Mini","Brown-forman Corporation","80","98.66",10
904748,"Centinela Reposado","Haas Brothers","80","240.70",12
904754,"El Mayor Extra Anejo 100% Agave HA","Luxco-st Louis","80","371.26",6
904763,"Don Julio Reposado","Diageo Americas","80","167.93",12
904792,"Sauza Tres Generaciones Anejo DNO","Jim Beam Brands","80","141.72",6
904802,"Lunazul Tequila Reposado","Heaven Hill Distilleries Inc.","80","127.60",12
904804,"Milagro Tequila Silver","William Grant And Sons Inc.","80","95.60",12
904808,"Cazadores Reposado","Bacardi U.s.a. Inc.","80","176.21",6
904813,"Don Julio Blanco","Diageo Americas","80","155.68",12
904814,"Espolon Reposado","Shaw Ross International Importers Ll","80","131.87",12
904817,"Manik Reposado","Jalixco Trading Co. Llc","80","129.00",6
904823,"Manik Anejo","Jalixco Trading Co. Llc","80","138.00",6
904829,"Totem Blanco","Jalixco Trading Co. Llc","80","184.00",12
904846,"Manik Blanco","Jalixco Trading Co. Llc","80","120.00",6
904853,"Totem Anejo","Jalixco Trading Co. Llc","80","214.00",12
904861,"Totem Reposado","Jalixco Trading Co. Llc","80","194.00",12
904868,"Sauza Tres Gen Minis (dno)","Jim Beam Brands","80","171.20",10
904896,"Azunia Platinum(white)","Intersect Beverage Llc","80","177.10",6
904907,"Giro Tequila Gold","Jim Beam Brands","80","76.00",12
904909,"Sauza Tres Generaciones Reposado Minis","Jim Beam Brands","80","85.60",6
904916,"Scorpion Mezcal Reposado","Park Street Imports- Caballeros","80","135.96",6
904921,"1921 Tequila Blanco","Casa 1921 Llc","80","141.00",6
904936,"Centinela Anejo","Haas Brothers","80","253.20",12
904939,"1921 Tequila Anejo","Casa 1921 Llc","80","181.00",6
904945,"El Mayor Reposado","Luxco-st Louis","80","120.30",6
904954,"Corazon Tequila Blanco","Monsieur Henri Wines Ltd.","80","72.00",6
904955,"1921 Tequila Reposado","Casa 1921 Llc","80","159.00",6
904960,"Hacienda Vieja","Marsalle Company/stoller Warehouse","80","186.15",12
904966,"Cabrito Reposado","Haas Brothers","80","169.70",12
904983,"Herradura Anejo Tequila","Brown-forman Corporation","80","168.25",6
